Model,Split,RMSE,R2,Pearson_r,Spearman_r
Ridge (ECFP4+omics),Random,0.5075,0.7459,0.8636,0.8592
Ridge (omics only),Random,0.9707,0.0701,0.265,0.2542
RF (ECFP4+omics),Random,0.8234,0.3309,0.5837,0.6157
MLP (ECFP4+omics),Random,0.4751,0.7773,0.8819,0.8794
XGBoost (ECFP4+omics),Random,0.5444,0.7075,0.8504,0.8471
Ridge (ECFP4+omics),Leave-Drug-Out,1.0325,-0.0649,0.2862,0.2152
Ridge (omics only),Leave-Drug-Out,0.9564,0.0865,0.2951,0.2788
RF (ECFP4+omics),Leave-Drug-Out,1.011,-0.0209,0.1835,0.1114
MLP (ECFP4+omics),Leave-Drug-Out,0.9606,0.0783,0.3811,0.3642
XGBoost (ECFP4+omics),Leave-Drug-Out,0.9438,0.1103,0.3543,0.332
Ridge (ECFP4+omics),Leave-Cell-Out,0.5865,0.6599,0.8131,0.8062
Ridge (omics only),Leave-Cell-Out,1.0102,-0.0091,0.1062,0.1039
RF (ECFP4+omics),Leave-Cell-Out,0.8259,0.3256,0.5786,0.5934
MLP (ECFP4+omics),Leave-Cell-Out,1.2681,-0.59,0.4863,0.7933
XGBoost (ECFP4+omics),Leave-Cell-Out,0.5818,0.6653,0.8221,0.8134
