name,index_in_978,importance,is_known_marker,rank
CCND3,934,0.0019024990033358335,False,1
OST4,965,0.0018916875123977661,False,2
ARL6IP1,817,0.00186706124804914,False,3
CTGF,279,0.0018262705998495221,False,4
THY1,722,0.0017826700350269675,False,5
VPREB3,846,0.001781617640517652,False,6
IGKV4-1,331,0.0017202668823301792,False,7
SQSTM1,857,0.001660057227127254,False,8
LAMC2,500,0.0016408624360337853,False,9
ITGA3,395,0.0015848578186705709,False,10
BPIFB1,873,0.0015840388368815184,False,11
SFN,328,0.001556525588966906,False,12
AREG,943,0.001551360823214054,False,13
OAZ1,343,0.001523360377177596,False,14
RPS14,209,0.0015195317100733519,False,15
DPYSL3,881,0.0015192386927083135,False,16
RPS28,435,0.0015022804727777839,False,17
APP,406,0.0014977767132222652,False,18
CXCL6,675,0.001494499039836228,False,19
TCEB2,507,0.001449695322662592,False,20
DDIT3,640,0.0014420460211113095,False,21
DHRS2,380,0.0014261729083955288,False,22
HSP90B1,191,0.001414587488397956,False,23
CTNNB1,956,0.0014107052702456713,False,24
ISG15,339,0.0013955709291622043,False,25
NDUFB9,178,0.0013862847117707133,False,26
AHSG,749,0.0013788331998512149,False,27
CLIC4,830,0.0013781723100692034,False,28
IL2RG,963,0.0013715348904952407,False,29
HLA-B,121,0.001370307058095932,False,30
TNC,685,0.0013662847923114896,False,31
PSMB9,975,0.0013651109766215086,False,32
EIF1,550,0.0013513305457308888,False,33
IFITM1,320,0.0013459809124469757,False,34
UBB,153,0.0013449828838929534,False,35
SLPI,232,0.0013421893818303943,False,36
RPL6P27,476,0.001338451518677175,False,37
VAMP8,924,0.0013369078515097499,False,38
MEST,342,0.0013327458873391151,False,39
PSMC4,738,0.0013320882571861148,False,40
MT-RNR2,2,0.0013319459976628423,False,41
PRSS23,804,0.001324811251834035,False,42
KRT16,976,0.0013187796575948596,False,43
IL8,228,0.001317783142440021,False,44
COL5A2,613,0.0013153788167983294,False,45
ELN,732,0.001310580875724554,False,46
STMN1,762,0.0013002878986299038,False,47
MT-CYB,4,0.0012985497014597058,False,48
MARCKSL1,553,0.0012970567913725972,False,49
HYOU1,927,0.0012875415850430727,False,50
AKR1B10,148,0.0012727914145216346,False,51
SMS,862,0.0012670623837038875,False,52
CGA,390,0.0012628129916265607,False,53
AARS,699,0.0012446680339053273,False,54
RP11-1070N10.6,928,0.001232131035067141,False,55
RPL11,266,0.0012202515499666333,False,56
CNBP,602,0.0012180744670331478,False,57
MT-ND2,3,0.0012123148189857602,False,58
FLNA,254,0.0012056233827024698,False,59
TAGLN,813,0.001203666441142559,False,60
ACTB,32,0.0012036528205499053,False,61
RPL9P7,276,0.0012017497792840004,False,62
PSAT1,662,0.001197188743390143,False,63
SCGB1D2,461,0.0011935002403333783,False,64
SLC2A3,783,0.0011890234891325235,False,65
MT-CO1,1,0.0011838928330689669,False,66
HNRNPK,913,0.0011809729039669037,False,67
DKK1,505,0.0011758699547499418,False,68
ERBB2,169,0.0011728531681001186,True,69
IGFBP1,739,0.0011727295350283384,False,70
RPS25,113,0.001172071904875338,False,71
RHOA,638,0.0011708922684192657,False,72
IGHV3-23,838,0.0011658821022138,False,73
COL3A1,185,0.0011655468260869384,False,74
RHOB,689,0.001165528199635446,False,75
S100P,261,0.0011629132786765695,False,76
TMA7,432,0.0011615004623308778,False,77
EIF3K,664,0.0011595943942666054,False,78
TRBV5-6,359,0.0011495816288515925,False,79
ILF2,636,0.0011482214322313666,False,80
RPS21,106,0.0011476301588118076,False,81
TUBA1B,75,0.001142679713666439,False,82
RAB7A,859,0.0011386170517653227,False,83
CTB-13H5.1,197,0.001138176303356886,False,84
SCG2,338,0.0011373704764991999,False,85
MAL2,969,0.0011363208759576082,False,86
TRBC2,165,0.001135634956881404,False,87
CSDE1,251,0.0011345406528562307,False,88
RPL36AL,508,0.0011336879106238484,False,89
RPS18,15,0.001132988021709025,False,90
INSM1,719,0.0011287648230791092,False,91
DRAP1,604,0.0011250325478613377,False,92
MYCL,756,0.001118664164096117,False,93
FLOT1,821,0.0011126297758892179,False,94
TOP2A,903,0.001108334050513804,True,95
IGKV2-28,711,0.0011067143641412258,False,96
RPS8,240,0.0011056131916120648,False,97
PGD,530,0.001104232738725841,False,98
CCND1,227,0.001103807706385851,True,99
IGLV4-60,79,0.0011001277016475797,False,100
RARRES1,387,0.0010999228106811643,False,101
HNRNPA1P10,546,0.001097620464861393,False,102
RPS2,87,0.0010968957794830203,False,103
SERPINH1,752,0.001094495295546949,False,104
APOA1,543,0.0010924621019512415,False,105
CTSZ,493,0.0010902080684900284,False,106
SET,925,0.001090131001546979,False,107
RPS23,66,0.0010881338967010379,False,108
IGLV1-44,238,0.0010877589229494333,False,109
ACTN4,316,0.00108618987724185,False,110
TMSB4XP8,324,0.0010851796250790358,False,111
DCT,466,0.0010836503934115171,False,112
ACTN1,961,0.0010829633101820946,False,113
DEFA5,509,0.0010826588841155171,False,114
TOMM7,914,0.001081322319805622,False,115
RPL7A,236,0.0010791572276502848,False,116
SPOCK2,658,0.001078246277756989,False,117
SLC25A3,932,0.0010754383401945233,False,118
TUBB,154,0.0010750512592494488,False,119
CALML3,764,0.0010747980559244752,False,120
YWHAQ,606,0.00107476394623518,False,121
EGR1,780,0.001072781509719789,False,122
TRIM28,971,0.0010691932402551174,False,123
PDIA6,797,0.001069128280505538,False,124
COL1A1,124,0.0010689222253859043,False,125
CAV1,256,0.0010668379254639149,False,126
RPL8,53,0.0010642409324645996,False,127
CLU,590,0.0010635929647833109,False,128
GAPDH,23,0.0010628732852637768,False,129
FUS,601,0.0010616729268804193,False,130
CD44,564,0.001060668844729662,False,131
IGHV2-70,440,0.0010593677870929241,False,132
CST1,629,0.001058680471032858,False,133
PI3,327,0.0010583122493699193,False,134
FBL,475,0.0010574752232059836,False,135
MT-ND6,9,0.0010535413166508079,False,136
FABP1,800,0.001052542356774211,False,137
SNRPD2,819,0.0010524910176172853,False,138
STRAP,655,0.001044058008119464,False,139
RPL9P8,171,0.0010430424008518457,False,140
PRDX6,951,0.0010364963673055172,False,141
RPL9P9,172,0.0010361046297475696,False,142
MT-ND1,6,0.0010358723811805248,False,143
PSMD4,772,0.0010351871605962515,False,144
CTSA,480,0.0010351103264838457,False,145
GFAP,824,0.0010349167278036475,False,146
QPCT,936,0.001032278873026371,False,147
PHGR1,451,0.00103075394872576,False,148
NAMPT,822,0.0010300063295289874,False,149
IGFBP5,202,0.001029156381264329,False,150
IGHV3-7,89,0.0010291453218087554,False,151
GDF15,309,0.0010285422904416919,False,152
TTR,845,0.0010251798667013645,False,153
CALU,434,0.0010219301329925656,False,154
IGKV3D-15,206,0.0010213498026132584,False,155
POLR2J,966,0.0010204019490629435,False,156
DHCR24,584,0.0010183175327256322,False,157
TNFRSF12A,674,0.0010177966905757785,False,158
PHB2,736,0.0010098085040226579,False,159
GANAB,697,0.0010067353723570704,False,160
CALM2,226,0.0010040134657174349,False,161
MYH9,408,0.0010030929697677493,False,162
SST,410,0.0010016696760430932,False,163
MTND2P28,37,0.0010016129817813635,False,164
SLC25A6,300,0.0009992794366553426,False,165
PLD3,808,0.0009990092366933823,False,166
TRDC,919,0.0009971855906769633,False,167
hsa-mir-6723,29,0.0009954574052244425,False,168
CCT5,759,0.000995184644125402,False,169
PMEL,69,0.0009950994281098247,False,170
XRCC6,720,0.0009935203706845641,False,171
NTS,213,0.0009931285167112947,False,172
HNRNPA1P7,345,0.0009917971910908818,False,173
CLEC11A,639,0.00099089159630239,False,174
BANF1,938,0.0009902113815769553,False,175
MTHFD2,811,0.0009899630676954985,False,176
COX6C,560,0.0009893717942759395,False,177
CFL1,582,0.0009882652666419744,False,178
ASCL1,465,0.0009841137798503041,False,179
RPL41,222,0.0009838304249569774,False,180
HBB,405,0.0009828637121245265,False,181
PRDX1,144,0.0009824094595387578,False,182
S100A6,26,0.0009823782602325082,False,183
MT-ND5,13,0.000981415156275034,False,184
NGFRAP1,659,0.0009784578578546643,False,185
IL32,899,0.0009777725208550692,False,186
TFRC,176,0.0009766881121322513,False,187
RPLP1,36,0.0009757875232025981,False,188
TRAM1,948,0.0009737368673086166,False,189
UQCRFS1,725,0.0009731203317642212,False,190
