name,index_in_978,importance,role,role_description,rank_ncrna,rank_all978
RNU1-28P,370,0.0013499683700501919,unknown,rôle non documenté,1,34
RMRP,753,0.0012205758830532432,unknown,ARN ribonucléase mitochondriale,2,57
RP11-3P17.5,76,0.0011835251934826374,unknown,rôle non documenté,3,69
RP11-290D2.6,99,0.00111167982686311,unknown,rôle non documenté,4,98
RP11-466H18.1,52,0.0010848796227946877,unknown,rôle non documenté,5,116
RP11-571M6.7,510,0.0010707866167649627,unknown,rôle non documenté,6,128
AC132217.4,586,0.0010265090968459845,unknown,rôle non documenté,7,159
VIM-AS1,175,0.0010174476774409413,unknown,rôle non documenté,8,166
RP11-20O24.4,538,0.0009807230671867728,unknown,rôle non documenté,9,193
AC022596.6,710,0.0009680328657850623,unknown,rôle non documenté,10,203
AC107016.2,25,0.0009475014521740377,unknown,rôle non documenté,11,224
RP11-161H23.5,308,0.0009353534551337361,unknown,rôle non documenté,12,239
Z98256.1,423,0.0009318513912148774,unknown,rôle non documenté,13,243
RP11-425L10.1,247,0.0009281524107791483,unknown,rôle non documenté,14,246
RP11-124N14.3,102,0.0009254124597646296,unknown,rôle non documenté,15,249
RP11-442H21.2,478,0.000922071048989892,unknown,rôle non documenté,16,255
RP5-977B1.11,571,0.0009213393786922097,unknown,rôle non documenté,17,256
RP11-138I1.4,147,0.0009149461984634399,unknown,rôle non documenté,18,264
RP11-290L1.3,856,0.0009126210352405906,unknown,rôle non documenté,19,268
RP11-572P18.1,164,0.000910954549908638,unknown,rôle non documenté,20,271
MIR205HG,642,0.0009091500542126596,unknown,rôle non documenté,21,274
RP11-673C5.1,388,0.0009088037186302245,unknown,rôle non documenté,22,275
RP5-940J5.9,38,0.0008976261597126722,unknown,rôle non documenté,23,287
RP11-1143G9.4,137,0.0008929087780416012,unknown,rôle non documenté,24,292
RP11-169K16.7,589,0.0008892436744645238,unknown,rôle non documenté,25,299
SNORD3A,777,0.000876482343301177,unknown,rôle non documenté,26,315
SNORA67,871,0.0008679844904690981,unknown,rôle non documenté,27,321
AC019349.5,735,0.0008662900072522461,unknown,rôle non documenté,28,323
RP3-417G15.1,890,0.0008644867921248078,unknown,rôle non documenté,29,325
RP11-3P17.3,61,0.0008368351846002042,unknown,rôle non documenté,30,342
RP11-1070N10.6,929,0.0008305884548462927,unknown,rôle non documenté,31,351
AC107016.1,72,0.0008156669209711254,unknown,rôle non documenté,32,367
AC021224.1,237,0.0008098548860289156,unknown,rôle non documenté,33,379
RP11-887P2.3,823,0.0008059098036028445,unknown,rôle non documenté,34,387
RP11-323N12.5,565,0.0007960283546708524,unknown,rôle non documenté,35,395
RP11-334E6.12,460,0.0007891704444773495,unknown,rôle non documenté,36,406
RP11-742N3.1,81,0.0007417233427986503,unknown,rôle non documenté,37,460
RP11-475C16.1,358,0.0007406367803923786,unknown,rôle non documenté,38,462
AL162151.3,470,0.0007232715142890811,unknown,rôle non documenté,39,479
RP11-386G11.10,88,0.0007178910309448838,unknown,rôle non documenté,40,489
RP11-490H24.5,583,0.0007018119213171303,unknown,rôle non documenté,41,503
AL590369.1,716,0.000699250609613955,unknown,rôle non documenté,42,506
