rank,smiles,canonical,qed,sa,mw,logp,composite,pains
1,CN1CCCN(C2CC2)CC(c2ccccc2NCCO)C1,CN1CCCN(C2CC2)CC(c2ccccc2NCCO)C1,0.8722592168202006,0.7944930342397356,303.45000000000016,1.9742999999999997,1.6667522510599362,False
2,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1N(C)C,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1N(C)C,0.7837335114938669,0.8726785158681383,310.3060000000001,1.0172999999999994,1.656412027362005,False
3,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1C(=O)O,COC(=O)OCC(=O)OCC(=O)Nc1ccccc1C(=O)O,0.7326711364848031,0.8910528748424971,311.2460000000001,0.6494999999999995,1.6237240113273002,False
4,O=C(COC(=O)COC(=O)OC1CC1)Nc1ccccc1C(=O)O,O=C(COC(=O)COC(=O)OC1CC1)Nc1ccccc1C(=O)O,0.7098400376989807,0.8762074662233312,337.28400000000005,1.1820999999999997,1.586047503922312,False
5,CC(=O)Nc1ccccc1-c1ccccc1COC=O,CC(=O)Nc1ccccc1-c1ccccc1COC=O,0.8488694048267797,0.8767215468008615,269.29999999999995,2.985000000000001,1.5778409516276408,False
6,CC(=O)Nc1ccccc1C1CCCN1CC1CC1CO,CC(=O)Nc1ccccc1C1CCCN1CC1CC1CO,0.8745899476530402,0.7405042144485339,288.39099999999996,2.4103000000000008,1.5535491621015738,False
7,CC1C(c2ccccc2CO)CN(C)CCCN1CC1CC1CO,CC1C(c2ccccc2CO)CN(C)CCCN1CC1CC1CO,0.8647514375338933,0.6807008441384537,332.48800000000006,1.9169000000000005,1.5454522816723468,False
8,CCCCN1CCCN(C)CC(c2ccccc2CO)C1NC(C)=O,CCCCN1CCCN(C)CC(c2ccccc2CO)C1NC(C)=O,0.8279904723182717,0.7339479602115362,347.5030000000001,2.1623,1.537593432529808,False
9,CC(C)CN1CCCN(C)CC(c2ccccc2CO)C1C,CC(C)CN1CCCN(C)CC(c2ccccc2CO)C1C,0.9262887151942419,0.7498989827754957,304.47800000000007,2.9445000000000014,1.5345126979697374,False
10,CCCCN1CCCN(C)CC(c2ccccc2CO)CCCN1C,CCCCN1CCCN(C)CC(c2ccccc2CO)CCCN1C,0.8848283003213517,0.7179924449370197,347.5470000000002,3.3271000000000024,1.403755745258371,False
